cancer,edin,p50,is_tumor
BLCA,0.11,0.0625,False
KIRC,0.01,0.0185,True
LAML,0.01,0.0639,True
LGG,0.0,0.0182,True
LIHC,0.0,0.0145,True
LUAD,0.02,0.0250,False
UCEC,0.0,0.0130,True
KIRC,0.0,0.0274,True
LGG,0.0,0.0267,True
PRAD,0.0,0.0162,True
STAD,0.03,0.0508,False
THCA,0.02,0.0429,False
ACC,0.01,1.0000,True
BLCA,0.0,0.7609,True
BRCA,0.0,1.0000,True
COAD,0.01,0.7968,True
HNSC,0.01,0.9615,True
KIRP,0.0,1.0000,True
LIHC,0.0,0.9583,True
LUSC,0.0,0.2578,True
PAAD,0.01,1.0000,True
PRAD,0.01,1.0000,True
SKCM,0.01,1.0000,True
THCA,0.0,0.7647,True
THYM,0.01,0.5909,True
UVM,0.01,1.0000,True
LAML,0.01,0.3000,True
ESCA,0.01,0.1000,True
LAML,0.01,0.2857,True
STAD,0.0,0.0769,True
