cancer,edin,is_tumor
ACC,0.0127,True
BLCA,0.0245,True
BLCA,0.0526,False
BRCA,0.0408,True
BRCA,0.0088,False
CHOL,0.0833,True
COAD,0.0107,True
ESCA,0.0309,True
GBM,0.0179,True
HNSC,0.008,True
KICH,0.0833,False
KIRC,0.0336,True
KIRC,0.0556,False
KIRP,0.0484,True
LAML,0.0066,True
LGG,0.0435,True
LIHC,0.0027,True
LUAD,0.0436,True
LUAD,0.0169,False
LUSC,0.022,True
LUSC,0.0408,False
MESO,0.0233,True
OV,0.0211,True
PAAD,0.0337,True
PCPG,0.1366,True
PRAD,0.022,True
PRAD,0.0192,False
READ,0.0109,True
SARC,0.0266,True
SKCM,0.0234,True
STAD,0.024,True
TGCT,0.0192,True
THCA,0.0452,True
THCA,0.0345,False
THYM,0.0168,True
UCEC,0.0164,True
UCS,0.0357,True
OV,0.0026,True
BRCA,0.0009,True
OV,0.058,True
STAD,0.016,True
UCEC,0.0018,True
OV,0.0106,True
ESCA,0.0062,True
OV,0.0079,True
STAD,0.0027,True
OV,0.0158,True
STAD,0.008,True
ESCA,0.0062,True
OV,0.0475,True
READ,0.0109,True
STAD,0.0133,True
ESCA,0.0062,True
OV,0.0712,True
STAD,0.0187,True
BRCA,0.0009,True
OV,0.0792,True
STAD,0.008,True
BRCA,0.0009,True
OV,0.0343,True
STAD,0.008,True
LAML,0.0066,True
OV,0.0449,True
STAD,0.0027,True
OV,0.0026,True
BRCA,0.0009,True
LAML,0.0132,True
OV,0.0106,True
BRCA,0.0018,True
LAML,0.0199,True
OV,0.0132,True
STAD,0.0053,True
BRCA,0.0009,True
COAD,0.0036,True
LAML,0.0132,True
OV,0.0026,True
STAD,0.0053,True
LAML,0.0132,True
STAD,0.0027,True
OV,0.0026,True
BRCA,0.0009,True
ESCA,0.0062,True
OV,0.0026,True
PCPG,0.0055,True
STAD,0.0027,True
UCS,0.0179,True
OV,0.0026,True
OV,0.0026,True
ESCA,0.0185,True
ESCA,0.0909,False
OV,0.0449,True
STAD,0.0133,True
ESCA,0.0247,True
ESCA,0.0909,False
LAML,0.0066,True
OV,0.0369,True
STAD,0.0133,True
ESCA,0.0062,True
OV,0.0106,True
STAD,0.0027,True
ESCA,0.0123,True
OV,0.0079,True
STAD,0.0027,True
LAML,0.0199,True
OV,0.0264,True
SKCM,0.0021,True
STAD,0.0027,True
UCEC,0.0018,True
ESCA,0.0062,True
LAML,0.0132,True
OV,0.0211,True
SKCM,0.0021,True
STAD,0.0027,True
UCEC,0.0018,True
OV,0.0053,True
STAD,0.0027,True
LAML,0.0066,True
OV,0.0132,True
ESCA,0.0432,True
LAML,0.0397,True
LUSC,0.002,True
OV,0.1161,True
PCPG,0.0055,True
STAD,0.0347,True
UCEC,0.0018,True
BRCA,0.0018,True
ESCA,0.0494,True
LAML,0.0066,True
LUSC,0.002,True
OV,0.1187,True
STAD,0.0347,True
UCEC,0.0018,True
LUSC,0.002,True
OV,0.0026,True
STAD,0.0312,False
BRCA,0.0018,True
ESCA,0.0309,True
