cancer,edin,p50,is_tumor
ACC,0.04,0.0588,True
BLCA,0.03,0.0455,True
BLCA,0.05,0.0462,False
BRCA,0.05,0.0476,True
BRCA,0.02,0.0541,False
CESC,0.04,0.0455,True
CHOL,0.03,0.0506,True
COAD,0.03,0.0628,True
ESCA,0.03,0.0196,True
GBM,0.01,0.0250,True
HNSC,0.03,0.0500,True
KICH,0.02,0.0833,True
KICH,0.04,0.0833,False
KIRC,0.01,0.0488,True
KIRC,0.03,0.0625,False
KIRP,0.02,0.0833,True
KIRP,0.03,0.0487,False
LAML,0.01,0.0362,True
LGG,0.02,0.0466,True
LIHC,0.04,0.0769,True
LIHC,0.02,0.0909,False
LUAD,0.03,0.0557,True
LUSC,0.03,0.0435,True
LUSC,0.02,0.0456,False
MESO,0.05,0.0501,True
OV,0.03,0.0217,True
PAAD,0.03,0.0526,True
PCPG,0.04,0.0695,True
PRAD,0.03,0.0417,True
PRAD,0.02,0.0430,False
READ,0.03,0.0635,True
SARC,0.02,0.0339,True
SKCM,0.02,0.0400,True
STAD,0.05,0.0278,True
STAD,0.06,0.0978,False
TGCT,0.01,0.0303,True
THCA,0.02,0.0466,True
UCEC,0.05,0.0526,True
UCEC,0.03,0.0398,False
ACC,0.16,0.0714,True
BLCA,0.41,0.0833,True
BLCA,0.32,0.0639,False
BRCA,0.55,0.1000,True
BRCA,0.32,0.0679,False
CESC,0.46,0.0789,True
CESC,0.33,0.1071,False
CHOL,0.25,0.0833,True
CHOL,0.11,0.2000,False
COAD,0.22,0.0769,True
COAD,0.24,0.0909,False
DLBC,0.5,0.0714,True
ESCA,0.81,0.0984,True
ESCA,0.45,0.0589,False
GBM,0.7,0.0895,True
GBM,1.0,0.1000,False
HNSC,0.44,0.0769,True
HNSC,0.25,0.0625,False
KICH,0.11,0.0909,True
KICH,0.21,0.0981,False
KIRC,0.43,0.0769,True
KIRC,0.26,0.0714,False
KIRP,0.22,0.0769,True
KIRP,0.28,0.0564,False
LAML,0.2,0.0714,True
LGG,0.46,0.0769,True
LIHC,0.3,0.1000,True
LIHC,0.14,0.1667,False
LUAD,0.4,0.0965,True
LUAD,0.22,0.0769,False
LUSC,0.45,0.0833,True
LUSC,0.49,0.0714,False
MESO,0.5,0.1000,True
OV,0.83,0.1127,True
PAAD,0.32,0.0909,True
PAAD,0.75,0.1200,False
PCPG,0.49,0.0952,True
PRAD,0.35,0.0667,True
PRAD,0.35,0.0635,False
READ,0.32,0.0870,True
READ,0.1,0.0769,False
SARC,0.47,0.0800,True
SARC,0.5,0.1044,False
SKCM,0.44,0.0741,True
SKCM,1.0,0.1429,False
STAD,0.66,0.1000,True
STAD,0.62,0.1452,False
TGCT,0.55,0.0784,True
THCA,0.4,0.0741,True
THCA,0.28,0.0667,False
THYM,0.58,0.0714,True
THYM,0.5,0.0649,False
UCEC,0.52,0.0938,True
UCEC,0.34,0.0556,False
UCS,0.43,0.0714,True
UVM,0.16,0.0625,True
ACC,0.13,0.0794,True
BLCA,0.48,0.0952,True
BLCA,0.32,0.0909,False
BRCA,0.51,0.0882,True
BRCA,0.2,0.0500,False
CESC,0.5,0.0789,True
CESC,0.33,0.0550,False
CHOL,0.42,0.1364,True
COAD,0.3,0.0769,True
COAD,0.2,0.0885,False
DLBC,0.46,0.0801,True
ESCA,0.93,0.1452,True
ESCA,0.27,0.0471,False
GBM,0.55,0.0690,True
GBM,0.4,0.0667,False
HNSC,0.47,0.0800,True
HNSC,0.18,0.0833,False
KICH,0.03,0.0882,True
KICH,0.29,0.0714,False
KIRC,0.43,0.0769,True
KIRC,0.28,0.0769,False
KIRP,0.27,0.0769,True
KIRP,0.41,0.0645,False
LAML,0.22,0.0714,True
LGG,0.32,0.0625,True
LIHC,0.38,0.1176,True
LIHC,0.18,0.1538,False
LUAD,0.45,0.0909,True
LUAD,0.2,0.0833,False
LUSC,0.49,0.0833,True
LUSC,0.43,0.0762,False
MESO,0.56,0.0955,True
OV,0.83,0.1266,True
PAAD,0.42,0.0909,True
PAAD,0.25,0.1667,False
PCPG,0.44,0.0976,True
PCPG,0.67,0.0769,False
PRAD,0.41,0.0667,True
PRAD,0.46,0.0769,False
READ,0.26,0.0714,True
READ,0.2,0.0557,False
SARC,0.52,0.0833,True
SARC,1.0,0.0702,False
SKCM,0.41,0.0741,True
SKCM,1.0,0.1667,False
STAD,0.72,0.1250,True
STAD,0.44,0.1277,False
TGCT,0.62,0.0833,True
THCA,0.35,0.0714,True
THCA,0.22,0.0588,False
THYM,0.52,0.0741,True
THYM,0.5,0.0667,False
UCEC,0.57,0.1111,True
UCEC,0.31,0.0521,False
UCS,0.64,0.0833,True
UVM,0.25,0.0588,True
ACC,0.05,0.0769,True
BLCA,0.14,0.0476,True
BLCA,0.05,0.0401,False
BRCA,0.14,0.0476,True
BRCA,0.1,0.0500,False
CESC,0.14,0.0494,True
CHOL,0.19,0.0572,True
COAD,0.05,0.0455,True
COAD,0.07,0.0625,False
DLBC,0.17,0.0370,True
ESCA,0.3,0.0414,True
ESCA,0.09,0.0417,False
GBM,0.17,0.0417,True
HNSC,0.14,0.0526,True
HNSC,0.07,0.0526,False
KICH,0.04,0.0556,False
KIRC,0.09,0.0500,True
KIRC,0.14,0.0606,False
KIRP,0.1,0.0667,True
KIRP,0.09,0.0584,False
LAML,0.04,0.0625,True
LGG,0.07,0.0455,True
LIHC,0.15,0.0714,True
LIHC,0.16,0.0955,False
LUAD,0.15,0.0572,True
LUAD,0.05,0.0625,False
LUSC,0.12,0.0435,True
LUSC,0.06,0.0359,False
MESO,0.21,0.0625,True
OV,0.27,0.0417,True
PAAD,0.14,0.0588,True
PCPG,0.14,0.0625,True
PRAD,0.06,0.0417,True
PRAD,0.08,0.0455,False
READ,0.05,0.0625,True
SARC,0.11,0.0417,True
SKCM,0.11,0.0417,True
STAD,0.23,0.0466,True
STAD,0.09,0.0395,False
TGCT,0.17,0.0364,True
THCA,0.09,0.0513,True
THCA,0.09,0.0541,False
THYM,0.06,0.0270,True
UCEC,0.18,0.0588,True
UCS,0.12,0.0347,True
UVM,0.05,0.0412,True
ACC,0.38,0.0920,True
BLCA,0.59,0.1000,True
BLCA,0.58,0.1310,False
BRCA,0.68,0.1081,True
BRCA,0.62,0.0909,False
CESC,0.62,0.0833,True
CESC,1.0,0.2059,False
CHOL,0.64,0.0976,True
CHOL,0.22,0.2000,False
COAD,0.43,0.0833,True
COAD,0.32,0.0769,False
DLBC,0.69,0.0870,True
ESCA,0.83,0.1333,True
ESCA,0.55,0.0909,False
GBM,0.7,0.1000,True
GBM,0.8,0.1333,False
HNSC,0.56,0.0920,True
HNSC,0.3,0.0714,False
KICH,0.2,0.0990,True
KICH,0.58,0.1000,False
KIRC,0.64,0.1053,True
KIRC,0.6,0.0870,False
KIRP,0.43,0.0968,True
KIRP,0.47,0.0667,False
LAML,0.29,0.0784,True
LGG,0.64,0.0833,True
LIHC,0.53,0.1429,True
LIHC,0.22,0.1000,False
LUAD,0.63,0.1081,True
LUAD,0.56,0.0909,False
LUSC,0.56,0.0930,True
LUSC,0.61,0.1000,False
MESO,0.8,0.1429,True
OV,0.84,0.1364,True
PAAD,0.58,0.1111,True
PAAD,1.0,0.1223,False
PCPG,0.73,0.1342,True
PCPG,1.0,0.0667,False
PRAD,0.61,0.0882,True
PRAD,0.69,0.1053,False
READ,0.4,0.0833,True
READ,0.4,0.0909,False
SARC,0.73,0.1111,True
SARC,1.0,0.2040,False
SKCM,0.64,0.0909,True
