cancer,edin,p50,is_tumor
ESCA,0.01,0.3500,True
LAML,0.01,0.1000,True
LUSC,0.0,0.0749,True
OV,0.0,0.2143,True
SARC,0.0,0.1000,True
BLCA,0.0,0.7000,True
ESCA,0.01,0.5455,True
OV,0.01,0.1818,True
SKCM,0.0,0.4545,True
STAD,0.0,0.0909,True
BLCA,0.01,0.2000,True
BRCA,0.0,0.1667,True
BRCA,0.02,0.0834,False
CESC,0.0,0.0909,True
ESCA,0.01,0.2727,True
GBM,0.01,0.0955,True
HNSC,0.0,0.0556,True
KIRC,0.01,0.1000,True
LAML,0.01,0.2000,True
LUAD,0.01,0.1000,True
LUSC,0.01,0.1699,True
PAAD,0.01,0.1409,True
PRAD,0.0,0.1000,True
SKCM,0.0,0.0909,True
STAD,0.01,0.2000,True
TGCT,0.01,0.1409,True
THYM,0.02,0.1667,True
BLCA,0.02,0.3875,True
BRCA,0.0,0.3431,True
BRCA,0.01,0.3571,False
CESC,0.01,0.1667,True
ESCA,0.02,0.2500,True
HNSC,0.0,0.2514,True
KIRC,0.01,0.2000,True
KIRP,0.01,0.3000,True
LUAD,0.02,0.2821,True
LUSC,0.01,0.2808,True
OV,0.01,0.2308,True
PAAD,0.01,0.2000,True
SKCM,0.02,0.1743,True
STAD,0.01,0.2792,True
TGCT,0.02,0.2308,True
THCA,0.01,0.5000,True
THYM,0.01,0.2727,True
THYM,0.5,0.1000,False
UCEC,0.0,0.2000,True
BLCA,0.02,0.1043,True
BRCA,0.0,0.1593,True
BRCA,0.01,0.2143,False
ESCA,0.02,0.1000,True
GBM,0.01,0.1000,True
HNSC,0.0,0.0588,True
KIRC,0.01,0.3205,True
KIRP,0.01,0.3000,True
LUAD,0.01,0.2000,True
LUSC,0.01,0.1455,True
OV,0.0,0.1000,True
PAAD,0.01,0.3000,True
PRAD,0.0,0.0909,True
SKCM,0.01,0.0909,True
STAD,0.01,0.1000,True
TGCT,0.02,0.3077,True
THCA,0.0,0.2027,True
THYM,0.01,0.0909,True
UCEC,0.0,0.1000,True
BLCA,0.0,0.0714,True
BRCA,0.0,0.1000,True
KIRP,0.01,0.2000,True
LUAD,0.0,0.1000,True
LUSC,0.0,0.0714,True
OV,0.0,0.1000,True
PAAD,0.01,0.0909,True
SKCM,0.01,0.0909,True
STAD,0.01,0.6000,True
BRCA,0.01,0.0769,False
LUAD,0.0,0.0714,True
BLCA,0.0,0.1000,True
BRCA,0.0,0.0833,True
KIRC,0.01,0.0955,True
LAML,0.01,0.1000,True
LUAD,0.0,0.1228,True
LUSC,0.0,0.0663,True
OV,0.01,0.0955,True
PAAD,0.01,0.1818,True
PRAD,0.0,0.0833,True
SKCM,0.01,0.1000,True
STAD,0.0,0.2143,True
THYM,0.01,0.0909,True
BLCA,0.01,0.1364,True
BRCA,0.0,0.0767,True
BRCA,0.01,0.0833,False
CESC,0.0,0.0833,True
COAD,0.0,0.0909,True
ESCA,0.02,0.3000,True
GBM,0.01,0.2000,True
HNSC,0.0,0.2353,True
KIRC,0.01,0.1288,True
LAML,0.01,0.0909,True
LUAD,0.01,0.1131,True
LUSC,0.01,0.1455,True
OV,0.0,0.1818,True
PAAD,0.01,0.2000,True
PRAD,0.0,0.2000,True
SKCM,0.0,0.1223,True
STAD,0.0,0.2000,True
TGCT,0.01,0.0718,True
THCA,0.0,0.2000,True
UCEC,0.0,0.1000,True
KIRC,0.0,0.0625,True
BLCA,0.01,0.1709,True
BRCA,0.01,0.1000,True
BRCA,0.01,0.0952,False
CESC,0.01,0.1409,True
ESCA,0.02,0.3000,True
GBM,0.01,0.2197,True
HNSC,0.0,0.1875,True
KIRC,0.01,0.2364,True
KIRP,0.02,0.4167,True
LAML,0.01,0.1000,True
LGG,0.0,0.1000,True
LUAD,0.02,0.1483,True
LUSC,0.02,0.1000,True
OV,0.01,0.2364,True
PAAD,0.01,0.2500,True
PCPG,0.01,0.1000,True
PRAD,0.01,0.1000,True
SARC,0.0,0.1000,True
SKCM,0.01,0.0833,True
STAD,0.01,0.2338,True
TGCT,0.04,0.1465,True
THCA,0.01,0.2000,True
THYM,0.02,0.1455,True
UVM,0.01,0.0909,True
BRCA,0.0,0.0955,True
HNSC,0.0,0.0588,True
LUAD,0.0,0.1000,True
PRAD,0.0,0.1000,True
SKCM,0.0,0.0496,True
BRCA,0.0,0.1422,True
HNSC,0.0,0.0667,True
KIRC,0.0,0.1000,True
LUSC,0.0,0.0994,True
OV,0.01,0.0885,True
PCPG,0.01,0.1000,True
PRAD,0.0,0.1000,True
SARC,0.0,0.1000,True
SKCM,0.0,0.1667,True
STAD,0.0,0.0769,True
TGCT,0.03,0.0767,True
THCA,0.0,0.2000,True
THCA,0.02,0.0909,False
THYM,0.01,0.0667,True
HNSC,0.0,0.0909,True
KIRC,0.0,0.0909,True
KIRP,0.01,0.1667,True
LUAD,0.0,0.0526,True
LUSC,0.0,0.0909,True
STAD,0.0,0.2000,True
TGCT,0.01,0.2000,True
BLCA,0.01,0.3000,True
BRCA,0.01,0.2438,True
BRCA,0.01,0.0625,False
CESC,0.0,0.2000,True
ESCA,0.01,0.0769,True
HNSC,0.01,0.1000,True
KIRC,0.01,0.2000,True
KIRP,0.02,0.5455,True
LUAD,0.02,0.1364,True
LUSC,0.0,0.1250,True
OV,0.01,0.1000,True
PRAD,0.01,0.1667,True
SARC,0.0,0.1176,True
SKCM,0.01,0.1000,True
STAD,0.0,0.3000,True
TGCT,0.03,0.1821,True
THCA,0.0,0.2151,True
THYM,0.01,0.0909,True
UCEC,0.0,0.0909,True
HNSC,0.0,0.0833,True
KIRC,0.0,0.0955,True
LUAD,0.01,0.1000,True
LUSC,0.0,0.0769,True
SKCM,0.0,0.0610,True
THCA,0.0,0.0909,True
KIRC,0.0,0.1000,True
BLCA,0.01,0.0909,True
BRCA,0.0,0.1088,True
BRCA,0.01,0.0556,False
CESC,0.01,0.1000,True
HNSC,0.0,0.0833,True
KIRC,0.01,0.1000,True
KIRP,0.01,0.1818,True
LUAD,0.01,0.1000,True
LUSC,0.01,0.1818,True
OV,0.0,0.2000,True
PRAD,0.0,0.0909,True
SARC,0.0,0.1333,True
SKCM,0.01,0.1538,True
STAD,0.0,0.0909,True
TGCT,0.03,0.0885,True
THCA,0.01,0.2000,True
THYM,0.01,0.1000,True
UVM,0.01,0.0909,True
SKCM,0.0,0.0536,True
TGCT,0.01,0.1000,True
BLCA,0.0,0.1333,True
GBM,0.01,0.0769,True
BRCA,0.01,0.0909,False
OV,0.0,0.4667,True
SKCM,0.0,0.0769,True
STAD,0.0,0.1818,True
GBM,0.01,0.2000,True
OV,0.01,0.1993,True
SKCM,0.0,0.1000,True
BLCA,0.0,0.1818,True
BRCA,0.0,0.2000,True
GBM,0.01,0.1538,True
KIRC,0.0,0.2000,True
LAML,0.01,0.1864,True
